City,Provinsi,Cabang,Alamat,lat,lon
Jakarta Pusat,DKI Jakarta,KCP Wahid Hasyim,"Jln. KH Wahid Hasyim 82. Jakarta, 10340",-6.186696,106.8257448
Jakarta Pusat,DKI Jakarta,KCP Wisma Nusantara,"Gedung Wisma Nusantara, Lt.Dasar, Jln. MH Thamrin 59. Jakarta, 10350",-6.1934314,106.8216616
Jakarta Pusat,DKI Jakarta,KK Pasar Senen,"Pusat Grosir Senen Jaya Blok I No. 1C dan 10 (2 unit). Jakarta, 10410",-6.1758627,106.8395671
Jakarta Pusat,DKI Jakarta,KK Plaza Kenari Mas,"Plaza Kenari Mas, Jl. Kramat Raya No. 101. Jakarta, 10440",-6.191024,106.8463663
Jakarta Pusat,DKI Jakarta,KK Pasar Tanah Abang Lt SL GF,"Tanah Abang Blok A SL G/F 093 & 095. Jakarta, 10250",-6.18797,106.8121453
Jakarta Pusat,DKI Jakarta,"KK Tanah Abang Blok A, Lantai 1","Tanah Abang Blok A Lt. 1/F/121. Jakarta, 10250",-6.18797,106.8121453
Jakarta Pusat,DKI Jakarta,"KK Tanah Abang Blok A, Lantai 2","Tanah Abang Blok A Lt. 2/E/001 & 155. Jakarta, 10250",-6.18797,106.8121453
Jakarta Pusat,DKI Jakarta,"KK Tanah Abang Blok A, Lantai 3","Tanah Abang Blok A Lt. 3/E/007. Jakarta, 10250",-6.18797,106.8121453
Jakarta Pusat,DKI Jakarta,"KK Tanah Abang Blok A, Lantai 3A","Tanah Abang Blok A Lt. 3A/G/002A. Jakarta, 10250",-6.18797,106.8121453
Jakarta Pusat,DKI Jakarta,"KK Tanah Abang Blok A, Lantai B2","Tanah Abang Blok A Lt. B2/F/106. Jakarta, 10250",-6.18797,106.8121453
Jakarta Pusat,DKI Jakarta,"KK Tanah Abang Blok A, Lantai LG","Tanah Abang Blok A Lt. LG/F/090. Jakarta, 10250",-6.18797,106.8121453
Jakarta Pusat,DKI Jakarta,"KK Tanah Abang Blok B, Lantai G","Tanah Abang Blok B G/H 001 & 002. Jakarta, 10250",-6.18797,106.8121453
Jakarta Pusat,DKI Jakarta,KK Tanah Abang Zona 3,"Tanah Abang Lt. 2 Los B No. 16, 18, 20 Jembatan Blok A. Jakarta, 10250",-6.18797,106.8121453
Jakarta Selatan,DKI Jakarta,KCU BLOK A CIPETE,"Jln. RS Fatmawati 6 A  Jakarta Selatan, JK 12410",-6.2645669,106.7977997
Jakarta Selatan,DKI Jakarta,KCU KUNINGAN,"Gedung Menara Karya Ground Floor  Jln. HR Rasuna Said Blok X-5 Kav. 1-2  Jakarta Selatan, JK 12950",-6.233194,106.8292649
Jakarta Selatan,DKI Jakarta,KCU MENARA BIDAKARA,"Menara Bidakara Lt. Lobby dan Lt.1  Jln. Gatot Subroto Kav.71-73  Jakarta Selatan, JK 12870",-6.2417164,106.8390125
Jakarta Selatan,DKI Jakarta,KCU PONDOK INDAH,"Wisma BCA Pondok Indah  Jln. Metro Pondok Indah  Jakarta Selatan, JK 12310",-6.2629023,106.7796615
Jakarta Selatan,DKI Jakarta,KCU SCBD,"Equity Tower Ground Floor  Unit D & Lantai 8 Unit E  Jl. Jend. Sudirman Kav. 52-53 Lot 9  Jakarta Selatan, JK 12190",-6.2263898,106.8065775
Jakarta Selatan,DKI Jakarta,KCU SUDIRMAN,"Gedung Chase Plaza  Jln. Jend. Sudirman Kav. 21  Jakarta Jakarta, JK 12920",-6.2104405,106.8194035
Jakarta Selatan,DKI Jakarta,KCU WISMA MILLENIA,"Jln M.T. Haryono Kav. 16  Jakarta Selatan, JK 12810",-6.242874,106.8493147
Jakarta Selatan,DKI Jakarta,KCP Adhi Graha,"Gedung Adhi Graha – Ground Floor Unit C, Jln. Jend. Gatot Subroto Kav. 56. Jakarta, 12950",-6.2379618,106.8259688
Jakarta Selatan,DKI Jakarta,KCP Ampera,"Gedung Aurum, Jl.Ampera Raya 37. Jakarta, 12560",-6.285958,106.8158513
Jakarta Selatan,DKI Jakarta,KCP Arkadia,"Gedung Perkantoran Hijau Arkadia Tower F – Groung Floor, Jln. TB Simatupang Kav. 88. Jakarta, 12520",-6.3008188,106.8308355
Jakarta Selatan,DKI Jakarta,KCP Bintaro,"Jln. RC. Veteran No.9 dan 9A Jakarta Selatan. Jakarta, 12330",-6.262749,106.7644573
Jakarta Selatan,DKI Jakarta,KCP Bintaro Utama,"Bintaro Jaya Blok E Kav.3-5, Jln. Bintaro Utama Rukan. Jakarta, 12330",-6.2706881,106.7552549
Jakarta Selatan,DKI Jakarta,KCP Bona Indah,"Plaza Bona Indah blok B/12, Jln.Karang Tengah Raya. Jakarta, 12440",-6.3005974,106.7779836
Jakarta Selatan,DKI Jakarta,KCP Bursa Efek Jakarta,"Gd. Bursa Efek Jakarta, Tower II G-09 & 108, Jln. Jend. Sudirman Kav. 52-53. Jakarta, 12190",-6.2242047,106.806518
Jakarta Selatan,DKI Jakarta,KCP Cilandak KKO I,"Jln. Cilandak KKO No. 9. Jakarta, 12550",0,0
Jakarta Selatan,DKI Jakarta,KCP Ciputat 2,"Jln. Ciputat Raya 10 E-F. Jakarta, 12240",-6.2529592,106.775806
Jakarta Selatan,DKI Jakarta,KCP Cyber 2,"Gedung Cyber 2 Ground Floor, Jl. HR. Rasuna Said Kav. X-5 No. 13. Jakarta, 12950",-6.2263895,106.8312097
Jakarta Selatan,DKI Jakarta,KCP Duta Mas Fatmawati,"Komp.Pert.Duta Mas Fatm.Blok D 1 No.12, Jl.RS Fatmawati, Jakarta. Jakarta, 12150",-6.2890541,106.7933653
Jakarta Selatan,DKI Jakarta,KCP Epicentrum Walk,"Epicentrum Walk 2nd Floor W336A & 338A, Jln. Jend. HR. Rasna Said Kav C 17. Jakarta, 12940",-6.2178758,106.832849
Jakarta Selatan,DKI Jakarta,KCP Fatmawati,"Jln. RS Fatmawati 1. Jakarta, 12430",-6.2890541,106.7933653
Jakarta Selatan,DKI Jakarta,KCP Graha Surya,"Jln. Setiabudi Selatan I Kav. 9. Jakarta, 12920",0,0
Jakarta Selatan,DKI Jakarta,KCP Gatot Subroto,"Graha BIP Lt.Dasar, Jln. Gatot Subroto Kav.23. Jakarta, 12930",-6.2307711,106.819371
Jakarta Selatan,DKI Jakarta,KCP Gedung Hijau,"Jln. Gedung Hijau Raya No. 41, Pondok Indah. Jakarta, 12310",-6.2770179,106.7745267
Jakarta Selatan,DKI Jakarta,KCP Graha Inti Fauzi,"Gd. Graha Inti Fauzi Lt. Dasar, Jln. Buncit Raya No. 22, Pejaten. Jakarta, 12790",-6.2760304,106.8279572
Jakarta Selatan,DKI Jakarta,KCP Graha Paramita,"Gdg Graha Paramita Lobby Depan, Jln. Denpasar Raya Blok D-2. Jakarta, 12940",-6.2244863,106.8290196
Jakarta Selatan,DKI Jakarta,KCP Gudang Peluru,"Komp. Gudang Peluru Blok A No. 23, Jln. Kampung Melayu Besar. Jakarta, 12830",-6.225745,106.8582783
Jakarta Selatan,DKI Jakarta,KCP Hasanudin,"Jln. Hasanudin 43/48. Jakarta, 12160",0,0
Jakarta Selatan,DKI Jakarta,KCP Iskandar Muda,"Jln. Arteri Pondok Indah Kav. 80/1-2. Jakarta, 12240",-6.2606963,106.7798251
Jakarta Selatan,DKI Jakarta,KCP Iskandar Muda II,"Jln. Iskandar Muda 8 EFG. Jakarta, 12240",-6.250653,106.7795561
Jakarta Selatan,DKI Jakarta,KCP ITC Permata Hijau,"Grand Permata Hijau Type Emerald no. 12 & 14, Jln. Arteri Permata Hijau. Jakarta, 12210",-6.2209985,106.7815445
Jakarta Selatan,DKI Jakarta,KCP Kebayoran Blok M,"Jln. Melawai raya 110 A-B. Jakarta, 12160",-6.2460085,106.7945806
Jakarta Selatan,DKI Jakarta,KCP Kemang,"Jln. Raya Kemang No. 60. Jakarta, 12730",-6.2663574,106.8138852
Jakarta Selatan,DKI Jakarta,KCP Kemang Mansion,"Shopping Arcade The Mansion at Kemang, Jln. Kemang Raya No. 3-5. Jakarta, 12730",-6.255055,106.8078333
Jakarta Selatan,DKI Jakarta,KCP Mal Pondok Indah,"Ground Floor G31 & G32, Jln. Metro Pondok Indah. Jakarta, 12310",-6.2650854,106.7805298
Jakarta Selatan,DKI Jakarta,KCP Mayestik,"Jln. Kiai Maja 77, Kebayoran Baru. Jakarta, 12120",-6.2417746,106.7892417
Jakarta Selatan,DKI Jakarta,KCP MD Tower,"Jl.Setiabudi Selatan No.7. Jakarta, 12920",-6.2125065,106.8267167
Jakarta Selatan,DKI Jakarta,KCP Mega Kuningan,"Gedung Oakwood Premier Cozmo Jl. Lingkar Mega Kuningan Blok E 4.2 No. 1. Jakarta, 12950",-6.2269945,106.8235064
Jakarta Selatan,DKI Jakarta,KCP Melawai,"Jln. Melawai Raya 165 Blok C 1-3. Jakarta, 12160",-6.245732,106.7993982
Jakarta Selatan,DKI Jakarta,KCP Menara Imperium,"Jln. HR Rasuna Said Kav.01. Jakarta, 12980",-6.233194,106.8292649
Jakarta Selatan,DKI Jakarta,KCP Menara Mulia,"Gedung Menara Mulia Lt.Dasar, Jln. Gatot Subroto Kav.9-11. Jakarta, 12930",-6.224354,106.8144227
Jakarta Selatan,DKI Jakarta,KCP Menara Palma,"Gedung Menara Palma – Ground Floor, Jln. HR Rasuna Said Blok X2 Kav. 6. Jakarta, 12950",-6.226714,106.8311223
Jakarta Selatan,DKI Jakarta,KCP Monginsidi,"Jln. Wolter Monginsidi No. 129. Jakarta, 12180",-6.2386421,106.8153104
Jakarta Selatan,DKI Jakarta,KCP Panglima Polim Raya,"Ruko Grand Panglima Polim, Jln. Panglima Polim Raya 16-17. Jakarta, 12160",-6.254112,106.7953253
Jakarta Selatan,DKI Jakarta,KCP Pasar Cipulir,"Komp. Cipulir Permai No. 9 E, Jln. Raya Ciledug. Jakarta, 12250",-6.2379865,106.7616034
Jakarta Selatan,DKI Jakarta,KCP Pasar Kebayoran Lama,"Jln. Kebayoran Lama 174. Jakarta, 12230",-6.236223,106.7781045
Jakarta Selatan,DKI Jakarta,KCP Pasar Minggu,"Jln. Raya Pasar Minggu 6. Jakarta, 12740",-6.287062,106.8413071
Jakarta Selatan,DKI Jakarta,KCP Pasar Minggu Center,"Jln. Lenteng Agung Raya No. 26 E-F. Jakarta, 12520",-6.287062,106.8413071
Jakarta Selatan,DKI Jakarta,KCP Pejaten,"Ruko Pejaten Mas, Jln.Raya Pasar Minggu Km.20 No. 98F & 98G. Jakarta, 12510",-6.2779906,106.842994
Jakarta Selatan,DKI Jakarta,KCP Permata Hijau,"Pertokoan Permata Hijau Blok D No. C27-28 dan B22. Jakarta, 12210",-6.2207719,106.7855795
Jakarta Selatan,DKI Jakarta,KCP Plaza Sentral,"Jln. Jend. Sudirman Kav.47. Jakarta, 12930",-6.2169061,106.8141857
Jakarta Selatan,DKI Jakarta,KCP Pondok Indah,"Jln. Metro Pondok Indah UA 60 & 61. Jakarta, 12310",-6.2844488,106.7783275
Jakarta Selatan,DKI Jakarta,KCP Pondok Indah Office Tower 3,"Pondok Indah Office Tower 3, Jl.Sultan Iskandar Muda Kav. V-TA. Jakarta, 12310",-6.2621167,106.7813832
Jakarta Selatan,DKI Jakarta,KCP Radio Dalam,"Jln. Radio Dalam Raya No. 5 B-C. Jakarta, 12140",-6.2565987,106.7876686
Jakarta Selatan,DKI Jakarta,KCP Saharjo,"Jln. Dr. Saharjo 149 G-H. Jakarta, 12860",-6.2199844,106.8439444
Jakarta Selatan,DKI Jakarta,KCP Sampoerna Strategic Square,"Gd. Sampoerna Strategic Square Tower A – Ground Floor, Jln. Jend. Sudirman Kav. 45-46. Jakarta, 12930",-6.2170431,106.8162024
Jakarta Selatan,DKI Jakarta,KCP Sejati Mulia,"Koperasi Sejati Mulia B 1, Jln.Ragunan Pasar Minggu. Jakarta, 12540",-6.2862681,106.8282552
Jakarta Selatan,DKI Jakarta,KCP Setiabudi Atrium,"Plaza Setiabudi, Gd.Setiabudi Atrium Lt.1 Suite 101 A, Jln.HR.Rasuna Said Kav.62, Kuningan. Jakarta, 12920",-6.2145744,106.8281432
Jakarta Selatan,DKI Jakarta,KCP Soepomo,"Jln. Prof. Dr. Soepomo 13. Jakarta, 12870",-6.237313,106.8419633
Jakarta Selatan,DKI Jakarta,KCP Sudirman Mansion,"Sudirman Mansion Lt.G No.G-A Blk C Jl.Jend.Sudirman Kav 59 No.77. Jakarta, 12190",-6.226158,106.8035043
Jakarta Selatan,DKI Jakarta,KCP Summitmas,"Summitmas I Lt. Dasar, Jln. Jend. Sudirman Kav. 61-62. Jakarta, 12190",-6.2265901,106.8015504
Jakarta Selatan,DKI Jakarta,KCP Talavera,"Gedung Talavera, Jln. TB Simatupang Kav. 26. Jakarta, 12430",-6.2917161,106.8014967
Jakarta Selatan,DKI Jakarta,KCP Tebet,"Gedung Gajah Tebet Unit N & O, Jln. Dr. Sahardjo Raya 111 . Jakarta, 12810",-6.226426,106.8456287
Jakarta Selatan,DKI Jakarta,KCP Tebet Barat,"Jln. Tebet Barat IX/40. Jakarta, 12820",0,0
Jakarta Selatan,DKI Jakarta,KCP Tebet Barat 2,"Jln. Tebet Raya No. 25 B Blok CI Tebet. Jakarta, 12820",-6.2294654,106.8508483
Jakarta Selatan,DKI Jakarta,KCP Tebet Timur,"Jln. Tebet Timur Dalam Blok GG No.97, Jakarta Selatan. Jakarta, 12820",-6.236203,106.8549583
Jakarta Selatan,DKI Jakarta,KCP Tempo Scan Tower,"Jl. HR Rasuna Said Kav. 3-4, Jakarta. Jakarta, 12940",-6.2352615,106.8269567
Jakarta Selatan,DKI Jakarta,KCP Warung Buncit,"Gedung Multika, Jln. Mampang Prapatan Raya 71-73. Jakarta, 12790",-6.2487968,106.8247038
Jakarta Selatan,DKI Jakarta,KCP Wisma Indocement,"Wisma Indocement, Gd.Annex Lt. Dasar, Jl. Jend. Sudirman Kav. 1. Jakarta, 12910",-6.205066,106.8210473
Jakarta Selatan,DKI Jakarta,KCP Wisma Mulia,"Wisma Mulia Suite G02, Jln. Gatot Subroto No. 42. Jakarta, 12710",-6.2350384,106.8212031
Jakarta Selatan,DKI Jakarta,KCP Wolter Mongisidi,"Jl. Wolter Monginsidi No.54, Jakarta. Jakarta, 12790",-6.239208,106.8088263
Jakarta Selatan,DKI Jakarta,KCP WTC Sudirman,"World Trade Center I Sudirman, Jl. Jend. Sudirman Kav. 29. Jakarta, 12920",-6.2151454,106.8182184
Jakarta Selatan,DKI Jakarta,KK Gandaria City,"Gandaria City Lower Ground # L 48 – L 49, Jl. KHM Syafi’i Hadzani No. 8 Gandaria. Jakarta, 12440",-6.2441792,106.7813403
Jakarta Selatan,DKI Jakarta,KK Kalibata City Square,"Jl.Kalibata Raya No.1 Jakarta Selatan. Jakarta, 12750",-6.2585051,106.8586787
Jakarta Selatan,DKI Jakarta,KK Kota Kasablanka,"Mal Kota Kasablanka LG 103 Jl. Kasablanka Raya kav. 88. Jakarta, 12960",-6.2241846,106.8403473
Jakarta Selatan,DKI Jakarta,KK Rempoa,"Jl.Pahlawan Raya Ruko Rempoa 8 Kav.9, Jakarta. Jakarta, 12330",-6.284381,106.7586973
Jakarta Selatan,DKI Jakarta,KK Wisma Laena,"Jln.KH.Abdullah Syafei No.7 Casablanca Tebet Jakarta Selatan. Jakarta, 12820",-6.223284,106.846499
Jakarta Timur,DKI Jakarta,KCU KALIMALANG,"Jln. Tarum Barat Blok E No. 5  Jakarta Timur, JK 13450",-6.2473668,106.9218962
Jakarta Timur,DKI Jakarta,KCU MATRAMAN,"Jln. Matraman Raya 14-16  Jakarta Timur, JK 13150",-6.2004958,106.8520125
Jakarta Timur,DKI Jakarta,KCU RAWAMANGUN,"Jln. Paus 81  Jakarta Timur, JK 13220",-6.1938085,106.8892727
Jakarta Timur,DKI Jakarta,KCP Balai Pustaka,"Jln. Balai Pustaka Timur  Blok J No.225-C/3  Jakarta Timur, JK 13220",-6.2015266,106.8835483
Jakarta Timur,DKI Jakarta,KCP Buaran Raya,"Jln. Buaran Raya Blok A No. 100 dan 101. Jakarta, 13470",-6.2202717,106.9202673
Jakarta Timur,DKI Jakarta,KCP Cibubur,"Cibubur Indah Blk BA, Jln. Lapangan Tembak Blok A/24-26. Jakarta, 13720",-6.352241,106.8805197
Jakarta Timur,DKI Jakarta,KCP Dewi Sartika,"Jln. Dewi Sartika 189. Jakarta, 13630",-6.2533415,106.8618894
Jakarta Timur,DKI Jakarta,KCP Jatinegara Barat,"Jln. Jatinegara Barat 54 E, Blok C 1-4. Jakarta, 13320",-6.2154376,106.8603674
Jakarta Timur,DKI Jakarta,KCP Jatinegara Timur,"Jln. Jatinegara Timur No. 39. Jakarta, 13310",-6.2182211,106.8655684
Jakarta Timur,DKI Jakarta,KCP Kalimalang,"Jln. Inspeksi Kav. PTB Blok A 2 No. 2 C-D. Jakarta, 13450",-6.2485514,106.9321633
Jakarta Timur,DKI Jakarta,KCP Klender,"Jln. I Gusti Ngurah Rai 8 A-B. Jakarta, 13470",-6.2140223,106.8996822
Jakarta Timur,DKI Jakarta,KCP Kramat Jati,"Jln. Raya Bogor RT. 001 RW. 04 No. 19. Jakarta, 13510",-6.2670632,106.8641659
Jakarta Timur,DKI Jakarta,KCP MT Haryono Cawang,"Jln. MT Haryono Kav. 9. Jakarta, 13330",-6.243305,106.8738083
Jakarta Timur,DKI Jakarta,KCP Otista,"Jln. Otista No. 99. Jakarta, 13340",-6.233866,106.8654691
Jakarta Timur,DKI Jakarta,KCP Pasar Induk Kramat Jati,"Jl. Raya Bogor Km 17 Uniko D2 No. 005 & 006, Pasar Induk Kramat Jati. Jakarta, 13540",-6.2941237,106.8697894
Jakarta Timur,DKI Jakarta,KCP Pasar Jatinegara,"Jln. Pintu Pasar Timur No. 14 & 16 Jatinegara. Jakarta, 13310",-6.2163617,106.8637767
Jakarta Timur,DKI Jakarta,KCP Pegambiran,"Jln. Pengambiran Raya 2. Jakarta, 13220",-6.200697,106.8884889
Jakarta Timur,DKI Jakarta,KCP Permata Ujung Menteng,"Jln. Raya Bekasi Km. 25 Blok A/17-18, Ujung Menteng. Jakarta, 13960",-6.1873389,106.9577663
Jakarta Timur,DKI Jakarta,KCP Pondok Bambu,"Pondok Bambu Center Blok A/5-6, Jln. Pahlawan Revolusi 30. Jakarta, 13430",-6.2263993,106.896622
Jakarta Timur,DKI Jakarta,KCP Pulogadung,"Jln. Raya Bekasi Km.19 No.30 B-C. Jakarta, 13220",-6.1878304,106.9033501
Jakarta Timur,DKI Jakarta,KCP Pulogadung Trade Center,"Jln. Raya Bekasi Km. 21 Ruko A2/18-19, Kawasan Industri Pulogadung. Jakarta, 13920",-6.1826699,106.91332
Jakarta Timur,DKI Jakarta,KCP Utan Kayu,"Jln. Utan Kayu 94. Jakarta, 13120",-6.1966019,106.8697439
Jakarta Timur,DKI Jakarta,KK Cakung,"Jl.Raya Penggilingan. Jakarta, 13960",-6.2004247,106.9329494
Jakarta Timur,DKI Jakarta,KK Kalbis Institute,"Gedung Institute Teknologi & Bisnis Kalbe Jl.Pulo Mas Selatan 22/11 Jakarta Timur. Jakarta, 13210",-6.179128,106.874671
Jakarta Timur,DKI Jakarta,KK Pusat Grosir Cililitan,"Jl.Mayjen Sungkono No.76 Cililitan Kramat Jati (Lt.2 No.641) Jakarta. Jakarta, 13640",-6.261982,106.8625503
Jakarta Utara,DKI Jakarta,KCP Ancol,"Jln. Parang Tritis Blok A VI No.3B-3C. Jakarta, 14430",-6.1293549,106.8196337
Jakarta Utara,DKI Jakarta,KCP Artha Gading,"Ruko Artha Gading Blok A 15-16, Jln. Boulevar Artha Gading. Jakarta, 14240",-6.1455984,106.8924067
Jakarta Utara,DKI Jakarta,KCP Boulevard Timur,"Jln. Boulevard Timur Blok NC 1 No.54-55. Jakarta, 14240",-6.1629136,106.9076571
Jakarta Utara,DKI Jakarta,KCP CBD Pluit,"Kawasan Hunian dan Bisnis Terpadu CBD Pluit Blok B No. 9 & 10, Jln. Pluit Selatan Raya. Jakarta, 14440",-6.1285279,106.787674
Jakarta Utara,DKI Jakarta,KCP Elang Laut,"Ruko Elang Laut Boulevard, Pantai Indah Kapuk, Jl.Pantai Indah Selatan I Blok A 28 & 29. Jakarta, 14460",-6.1245802,106.746246
Jakarta Utara,DKI Jakarta,KCP Gading Bukit Indah,"Jln. Bukit Gading Raya Blok D/1. Jakarta, 14240",-6.1499927,106.8961352
Jakarta Utara,DKI Jakarta,KCP Gading Riviera,"Jln. Raya Kelapa Hibrida, Ruko Gading Riviera Blok PF 21/10. Jakarta, 14250",-6.1482426,106.9114728
Jakarta Utara,DKI Jakarta,KCP Gading Square,"Komplek Rukan Kelapa Gading Square, Jln. Boulevard Barat Raya Blok C No. 17. Jakarta, 14240",-6.1516716,106.8888607
Jakarta Utara,DKI Jakarta,KCP Graha Kirana,"Gedung Graha Kirana, Jl. Yos Sudarso No. 88. Jakarta, 14240",-6.1542577,106.8835392
Jakarta Utara,DKI Jakarta,KCP Griya Utama,"Ruko Puri Mutiara, Jln. Griya Utama A No. 37-38. Jakarta, 14350",-6.1418355,106.8526441
Jakarta Utara,DKI Jakarta,KCP Gunung Sahari,"Pert.Gunung Sahari Indah Blok B/11-12, Jl.Raya Gunung Sahari 13. Jakarta, 14420",-6.1406832,106.8313293
Jakarta Utara,DKI Jakarta,KCP Jembatan Dua,"Jln. Jembatan Dua 82 BB-BC. Jakarta, 14450",-6.1378152,106.7912065
Jakarta Utara,DKI Jakarta,KCP Kapuk Kamal,"Jln. Raya Kapuk Kamal No. 1A Blok DEF.Jakarta, 14470",-6.1313159,106.7446734
Jakarta Utara,DKI Jakarta,KCP Kapuk Muara,"Komp.Duta Harapan Indah, Jln. Kapuk Muara Blok K.32-33. Jakarta, 14460",-6.139019,106.7711976
Jakarta Utara,DKI Jakarta,KCP Kelapa Gading,"Jln. Kelapa Gading Boulevard Blok FX No.9-10. Jakarta, 14240",-6.1630399,106.901877
Jakarta Utara,DKI Jakarta,KCU KELAPA GADING,"Menara Satu Sentra Kelapa Gading Lt. Dasar, 1, 9, dan 10, Jl. Bulevar Kelapa Gading LA3 No. 1. Jakarta, 14240",-6.1598961,106.902903
Jakarta Utara,DKI Jakarta,KCP Kelapa Gading Hibrida,"Jln. Bulevar Raya Blok RA-1 No. 14-15, Kelapa Gading. Jakarta, 14250",-6.1475403,106.907584
Jakarta Utara,DKI Jakarta,KCP Kelapa Gading Raya,"Jl. Bulevard Raya Blok L No. 1 Kelapa Gading. Jakarta, 14240",-6.1692963,106.8980921
Jakarta Utara,DKI Jakarta,KCP Kelapa Gading Villa,"Jln. Boulevard Barat Raya Blok LC No.51-52. Jakarta, 14240",-6.1573377,106.8983619
Jakarta Utara,DKI Jakarta,KCP Kirana Boutique,"Ruko Kirana Boutique di Jl. Kirana Avenue 3 Blok E 2 No. 8-9, Kelapa Gading, Jakarta. Jakarta, 14240",-6.1736931,106.8933305
Jakarta Utara,DKI Jakarta,KCP Kramat Jaya,"Jln. Kramat Jaya Blok F1/10. Jakarta, 14130",-6.1167642,106.9150768
Jakarta Utara,DKI Jakarta,KCP Lodan Center,"Ruko Lodan Center Ancol Blok O No. 6-7, Jln. Lodan Center. Jakarta, 14430",-6.1297285,106.8137856
Jakarta Utara,DKI Jakarta,KCP Mahkota Ancol,"Komplek Ruko Mahkota Ancol Blok E No.1, Pademangan. Jakarta, 14420",-6.1317837,106.8373515
Jakarta Utara,DKI Jakarta,KCP Mal Kelapa Gading III,"Gedung Mal Kelapa Gading III, Jln. Bulevar Kelapa Gaing Blok M. Jakarta, 14240",-6.156032,106.9062284
Jakarta Utara,DKI Jakarta,KCP Mangga Dua,"Pst.Perd.Grosir Psr Pagi Lt.2 Bl.KA No.001A-B,002&012,Jl.Arteri M.D. Jakarta, 14430",0,0
Jakarta Utara,DKI Jakarta,KCP Mangga Dua ITC,"Gedung ITC Mangga Dua Lt.IV Blok B No.20-25, 29-32, Jln. Mangga Dua Raya. Jakarta, 14430",-6.1355852,106.8209777
Jakarta Utara,DKI Jakarta,KCU MANGGA DUA RAYA,"Jl.Mangga Dua Raya Blok C-5 Kav. No.1. Jakarta, 14430",-6.135741,106.8240413
Jakarta Utara,DKI Jakarta,KCP Mangga Dua Square,"Komp. Ruko Mangga Dua Square Blok G No. 8-9, Jln. Gunung Sahari Raya No. 1. Jakarta, 14430",-6.1324521,106.8296149
Jakarta Utara,DKI Jakarta,KK Mangga Dua,"Gedung Pusat Perdagangan Grosir Mangga Dua Lt.1 Blok KA No.11 Jl.Mangga Dua Raya, Jakarta Utara. Jakarta, 14440",-6.1356852,106.8224125
Jakarta Utara,DKI Jakarta,KCP Menara Ancol,"Jln. Pasir Putih Raya. Jakarta, 14430",0,0
Jakarta Utara,DKI Jakarta,KCU MUARA KARANG,"Jln. Muara Karang Timur Blok B VIII No.116-117. Jakarta, 14450",-6.117045,106.7778363
Jakarta Utara,DKI Jakarta,KCP Muara Karang 3,"Jln. Galeri Niaga Mediterania Blok X.3 Kav.No.A8.J, Pantai Indah Kapuk. Jakarta, 14460",-6.1169492,106.7694148
Jakarta Utara,DKI Jakarta,KCP Muara Karang Utara,"Jln. Pluit Karang Utara no. 137 A & 137 B, Blok A3 Kav. 11. Jakarta, 14450",-6.1113772,106.776222
Jakarta Utara,DKI Jakarta,KCP Muara Karang 2,"Jl.Pluit Karang Blok D-7-U No.211A Kav 2. Jakarta , 14450",-6.1162343,106.7754589
Jakarta Utara,DKI Jakarta,KCP Pademangan,"Jln. Pademangan II Gang 15 No.45, Jakut. Jakarta, 14410",-6.1394553,106.8413544
Jakarta Utara,DKI Jakarta,KCP Pantai Indah Kapuk,"Jln. Pantai Indah Selatan I Blok DF No.1 & 2. Jakarta, 14460",-6.1253181,106.7537767
Jakarta Utara,DKI Jakarta,KCP Pantai Indah Kapuk II,"Rukan Eksklusif Bukit Golf Mediterania Blok C No. 17, PIK. Jakarta, 14460",-6.1126865,106.7467673
Jakarta Utara,DKI Jakarta,KCP Pasar Pagi Mangga Dua,"Gedung Pusat Perdagangan Grosir Pasar Pagi Lt.III, Ruang No.4 (Banking), Jln. Mangga Dua Raya. Jakarta, 14430",-6.1363272,106.8196848
Jakarta Utara,DKI Jakarta,KCP Pelabuhan Tanjung Priok,"Gedung Terminal Penumpang Nusantara Pura II, Jl. Panaitan, Pelabuhan Tanjung Priok. Jakarta, 14310",-6.1039967,106.8796456
Jakarta Utara,DKI Jakarta,KCP Permata Kota,"Ruko Permata Kota Blok A No. 10 Jl. Pangeran Tubagus Angke No. 170. Jakarta, 14450",-6.1415938,106.7978258
Jakarta Utara,DKI Jakarta,KCU PLUIT,"Jln. Pluit Selatan 200. Jakarta, 14440",-6.1273499,106.7904856
Jakarta Utara,DKI Jakarta,KCP Pluit Kencana,"Jln. Taman Pluit Kencana Selatan No. 1-3. Jakarta, 14440",-6.1210261,106.7863928
Jakarta Utara,DKI Jakarta,KCP Pluit Mega Mal,"Jln. Pluit Permai Raya 60. Jakarta, 14450",-6.1160245,106.7867134
Jakarta Utara,DKI Jakarta,KCP Pluit Samudra,"Jln. Pluit Samudra No. 9 Blok N Kav. 5. Jakarta, 14450",-6.1110122,106.789616
Jakarta Utara,DKI Jakarta,KCP Pluit Timur,"Jln. Pluit Timur Blok L Barat Kav. 41-42 No.12A-14. Jakarta, 14450",-6.1243799,106.7957607
Jakarta Utara,DKI Jakarta,KCP Prima Sunter,"Ruko Prima Sunter, Jln. Danau Sunter Utara No.A2-A3. Jakarta, 14350",-6.1410774,106.8831526
Jakarta Utara,DKI Jakarta,KCP PRJ Kemayoran,"Gambir Expo Blok C-3A dan C-5 Pintu 2 Arena PRJ Kemayoran. Jakarta, 14410",0,0
