City,Provinsi,Cabang,Alamat,lat,lon
Jakarta Barat,DKI Jakarta,KCP Kebon Jeruk,"Komp. Taman Kebon Jeruk, Jln. Meruya Ilir Blok B 6-9. Jakarta Barat, 11630",-6.197694,106.7441994
Jakarta Barat,DKI Jakarta,KCP Kedoya Baru,"Ruko Tomang Tol Raya Blok A 1/21-22. Jakarta Barat, 11520",-6.1896667,106.7617296
Jakarta Barat,DKI Jakarta,KCP Kemanggisan,"Jln. Kemanggisan Utama Raya 37. Jakarta Barat, 11430",-6.189607,106.788596
Jakarta Barat,DKI Jakarta,KCP Kepa Duri,"Jln. Mangga Raya 20. Jakarta Barat, 11510",0,0
Jakarta Barat,DKI Jakarta,KCP Ketapang,"Komp.Ketapang Indah Blok A/3-4, Jln. KH Zainal Arifin. Jakarta Barat, 11140",-6.1598919,106.815807
Jakarta Barat,DKI Jakarta,KCP KHM Mansyur,"Jln. KHM Mansyur 246 A & B. Jakarta Barat, 11250",-6.1547154,106.8060722
Jakarta Barat,DKI Jakarta,KCP KHM Mansyur II,"Jln. KHM Mansyur 73 B dan 72 C. Jakarta Barat, 11260",-6.1512887,106.8054577
Jakarta Barat,DKI Jakarta,KCP Komp. Taman Kota,"Jln. Daan Mogot KM. 11 Wisma SSK. Jakarta Barat, 11710",-6.1556251,106.7514209
Jakarta Barat,DKI Jakarta,KCP Kosambi,"Komp. Perum Kosambi Baru Blok A Ext-1 Kav 17 & 19, Jl. Nusa Indah Tengah, Cengkareng. Jakarta Barat, 11750",-6.1742733,106.7103608
Jakarta Barat,DKI Jakarta,KCP KS Tubun,"Gd.Graha Indramas Lt.dasar, Jln.AIP II KS Tubun Raya No.77. Jakarta Barat, 11410",-6.2000062,106.7979163
Jakarta Barat,DKI Jakarta,KCP Latumenten,"Jln. Prof. Dr. Latumenten 28. Jakarta Barat, 11330",-6.1481521,106.7916123
Jakarta Barat,DKI Jakarta,KCP Lindeteves,"Gedung Hayam Wuruk Indah Lt 1 Blok A-L 01,CKS 056, Jln.Hayam Wuruk 100. Jakarta Barat, 11110",-6.1452354,106.8137833
Jakarta Barat,DKI Jakarta,KCP Lindeteves Trade Center,"Gedung Lindeteves Trade Center Ruko RA 33 – 35 – 36, Jln.Hayam Wuruk 127. Jakarta Barat, 11110",-6.145985,106.8141383
Jakarta Barat,DKI Jakarta,KCP Lokasari,"Komp. Lokasari Plaza Blok B 45, Jln. Mangga Besar 81. Jakarta Barat, 11170",-6.1470684,106.8218225
