0
Jln. Asemka 27-30  Jakarta Barat
Jln. Daan Mogot No. 95  Jakarta Barat
Jln. Gajah Mada 112 B-C-D  Jakarta Barat
Perum. Green Garden  Blok A.7 No.33-34  Jakarta Barat
Ruko Taman Kedoya Permai  Blok A 1A No.4-5
Gedung C3 LT.1-3  Komplek Puri Indah Blok 02 No.1-3  Kembangan  Jakarta Barat
Jln. Tubagus Angke No. 10 ABC dan 11 H  Jakarta Barat
Wisma Asia  Jln. S. Parman Kav. 79  Jakarta Barat
Jln. Tubagus Angke No. 37. Jakarta Barat
Jl.Arjuna Utara No.7D-E. Jakarta Barat
Jln. Bandengan Utara Raya 1A. Jakarta Barat
Kamp.II Univ.Bina Nusantara
Komp. Bojong Indah Cengkareng
Rukan Business Park Blok B-1 & B-2
Jln. Cengkeh 21-21A. Jakarta Barat
Komplek Central Park Ruko Garden Shopping Arcade Blok Beaufort 8 nomor EC. Jakarta Barat
Ruko Citra Garden II EXT Blok BE 01 A / 01 & 02. Jakarta Barat
Perum. Citra Garden I Blok I.1/4. Jakarta Barat
Perum. Citra Garden II Ruko Citra Niaga Blok B No. 1 & 2. Jakarta Barat
Rukan Pusat Bisnis Daan Mogot Baru Blok KJF No. 9 & 10. Jakarta Barat
Jln. Daan Mogot No. 48 A. Jakarta Barat
Jln. Duri Raya 37 B. Jakarta Barat
Pertokoan Glodok Plaza Blok E/7-8
Komp.Green Ville Blok AS No.42
Jln. Muwardi 1/44. Jakarta Barat
Pert.Grogol Permai Blok F 3-4
Jln. Hayam Wuruk 54. Jakarta Barat
Komp.Intercom Megah
Jln. Panjang 79 EF. Jakarta Barat
Jln. Jamblang Raya 51. Jakarta Barat
Kavling Polri
Jln. Jelambar Baru Raya 53 C. Jakarta Barat
Jln. Mangga Besar 177 C. Jakarta Barat
Jln. Pasar Inpres Kav. Polri Blok F VIII No.1605 B. Jakarta Barat
Jln. Keamanan 50. Jakarta Barat
Jln. Karang Anyar Blok A1 No.14-15. Jakarta Barat
Jln. Kartini Raya 27. Jakarta Barat
Plaza Pupuk Kaltim
Komp. Taman Kebon Jeruk
Ruko Tomang Tol Raya Blok A 1/21-22. Jakarta Barat
Jln. Kemanggisan Utama Raya 37. Jakarta Barat
Jln. Mangga Raya 20. Jakarta Barat
