City,Provinsi,Cabang,Alamat
Jakarta Barat,DKI Jakarta,KCP Taman Ratu,"Ruko Taman Ratu,  Jl. Ratu Kemuning Blok A2 No 9B Kav 9-10  Duri Kepa  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Tomang,"Jl. Tomang Raya No. 32  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,KCP Universitas Trisakti,"Kampus A Universitas Trisakti,  Jl. Kyai Tapa No. 1,  Grogol  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Jalan Arjuna,"Jl. Raya Arjuna Utara No. 7A Duri Kepa Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Jalan Kopi,"Jl. Kopi No. 20  Roa Malaka  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Duri Kosambi,"Ruko Interkota,  Jl Duri Kosambi Raya Blok C3 No 11  Cengkareng  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Gajah Mada,"Jl. Gajah Mada No. 112 F  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Hayam Wuruk,"Jl. Hayam Wuruk No. 96 A,  Tamansari  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Kebon Jeruk,"Business Park Kebon Jeruk Blok AB 5,  Jl. Raya Meruya Ilir No. 88  Meruya Utara  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Mediterania Tanjung Duren,"Ruko Garden Shopping Arcade Podomoro City Blok B No 8 AD  Jl. Letjend. S. Parman Kav. 28  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Mutiara Taman Palem,"Ruko Mutiara Taman Palem Blok A2 No.22,  Jl. Outer Ring Road Kamal,  Cengkareng  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Palem City,"Ruko Miami Blok C 17.A  City Resort Residences,  Jl. Lingkar Luar Kamal Raya – Cengkareng  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Pasar Pagi Perniagaan,"Jl. Perniagaan Timur No. 79  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Permata Taman Palem,"Ruko Permata Taman Palem Blok D2 No. 10  Cengkareng  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Peta Barat,"Ruko Citra Business Park Blok A-8,  Jl Peta Barat – Cengkareng  Jakarta Barat, JK"
Jakarta Barat,DKI Jakarta,CO Puri Kembangan,"Jl. Raya Kembangan No. 107.A  Kembangan  Jakarta Barat, JK"
